Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
21,540,44.12,67.6,56.32,8.43,100,66.67,88.89,77.78,0,0,62.5,37.5,100,100,0,0,100,50,100
22,446,17.15,60.52,13.29,-22.36,97,0,80,100,70,32.89,100,0,66.67,53.33,100,50.56,0,50.56,0
23,19724,-14.82,-11.61,-30.75,-2.11,0,61.02,0,47.63,100,100,91.3,0,43.48,30.49,12.5,25,100,0,87.58
24,17256,-0.07,29.5,-24.24,-5.47,57.36,65.22,100,85.51,0,100,50.56,35,72.92,0,100,42.89,11.44,97.21,0
25,434,45.28,64.65,33.33,37.87,79.19,31.68,47.51,0,100,9.05,39.37,100,9.05,0,25,100,75,0,25.58
26,426,-16.82,-0.28,-9.22,-40.95,22.82,100,87.5,0,25,60.47,0,33.33,100,33.33,100,0,0,33.86,0
27,1045,2.09,53.06,-33.01,-13.78,75,100,91.67,58.33,0,47.06,0,23.53,0,100,0,11.11,66.67,11.11,100
28,654,47.64,91.42,-18.55,70.06,100,73.33,0,0,21.44,80,0,40,100,42.62,0,28.57,57.14,100,43.85
29,14545,-2.75,89.04,-27.15,-70.14,100,66.67,52.38,0,38.1,76.92,0,0,100,80.77,80,40,0,20,100
30,18235,-21.06,-27.82,9.31,-44.67,0,13.33,55,100,29.17,6.4,80.8,11.2,0,100,39.66,60.34,12.07,0,100
31,20216,78.36,78.1,73.86,83.11,100,84.76,65.43,61.46,0,0,77.25,100,61.21,28.02,14.54,100,97.92,39.58,0
32,3690,71.82,96.22,63.91,55.34,100,58.33,0,5.56,13.89,0,62.32,100,49.28,0,0,100,66.67,16.67,27.78
33,3555,48.92,67.31,77.28,2.18,66.67,0,6.67,66.67,100,0,58.82,58.82,100,70.59,60,0,80,100,55
34,10178,71.08,91.87,39.89,81.49,100,60.61,29.57,0,51.36,16.84,16.84,100,89.14,0,33.22,100,94.44,50.11,0
35,1330,41.57,81.68,25.37,17.65,100,64,0,52,32,26.67,0,100,80,33.33,100,100,100,25,0
36,1517,-10.19,45.16,-13.1,-62.63,76.15,48.46,16.67,100,0,77.12,43.9,100,3.7,0,77.35,0,33.48,44.57,100
37,629,5.29,68.26,-17.12,-35.28,81.25,100,68.75,0,13.45,100,30.56,76.85,76.85,0,99.21,0,99.21,49.6,100
38,1316,11.84,51.56,8.94,-24.99,95.47,65.52,0,100,0,47.92,16.67,50,100,0,99.24,100,0,100,100
39,144,,,,
40,17017,54.25,85.37,24.78,52.59,100,61.61,0,39.47,14.94,15.98,0,100,48.06,38.08,0,7.99,100,80.02,56.04
41,28364,7.28,51.57,-28.83,-0.9,83.42,100,88.26,84.8,0,100,52.07,69.93,31.23,0,100,62.7,61.01,47.45,0
42,20543,32.93,81.67,-14.19,31.32,100,91.22,0,12.89,39.93,87.21,66.27,100,5.82,0,11.11,0,100,44.47,33.36
43,14639,21.96,-23.66,25,64.54,2.74,100,52.08,34.46,0,16.13,100,27.24,9.05,0,0,100,51.72,24.14,3.46
44,2961,-17.85,-23.01,-17.8,-12.75,13.18,68.18,100,90.91,0,100,87.11,69.03,46.02,0,78.99,100,12.5,0,8.33
45,18099,54.47,87.56,17.49,58.35,100,52.56,23.57,44,0,45.78,91.57,100,0,1.33,24.96,100,89.28,7.1,0
46,17427,52.81,58.22,30.76,69.44,76,84.7,45.65,0,100,29.87,19.87,100,80,0,0,100,50.05,75.06,16.71
47,15340,11.29,28.6,-30.26,35.51,57.14,63.1,100,88.1,0,100,0,30.43,82.61,22.83,16.67,100,0,100,16.67
48,17358,35.94,50.14,7.5,50.18,86,67.98,91.04,100,0,92.32,87.55,100,92.77,0,66.09,67.7,87.05,100,0
49,1143,33.36,63.99,48.44,-12.34,84.06,100,14.98,0,80.05,6.03,85.68,52.49,100,0,71.41,100,28.53,0,28.71
50,784,21.46,87.24,-44.78,21.92,100,14.29,0,42.86,46.25,100,57.14,42.86,0,15.38,0,74.17,49.45,49.45,100
51,199,,,,
52,20089,13.89,93.82,-29.74,-22.42,100,53.14,28.92,30.94,0,100,48.61,72.22,24.99,0,37.49,87.47,0,37.49,100
53,4031,15.08,86.38,-32.92,-8.21,100,98.55,51.25,11.83,0,75.57,0,6.9,84.48,100,5.46,0,27.78,94.44,100
54,1086,30.33,47.37,28.06,15.56,52.05,0,23.08,100,100,0,100,20.47,25.44,70.18,24.66,100,0,37.5,37.5
55,15263,20.58,50.95,9.55,1.26,71.12,72.82,100,58.62,0,21.83,69.76,60.17,0,100,22.01,100,40.66,0,78.01
56,17126,29.98,91.6,11.29,-12.96,100,63.3,58.05,18.39,0,82.59,100,88.84,75.21,0,100,38.73,45.18,51.64,0
57,580,-47.29,-49.2,-22.64,-70.04,0,83.33,100,100,83.33,87.5,0,100,0,12.5,100,0,0,25,75
58,17563,32.24,65.13,11.97,19.61,69.48,0,38.44,79.3,100,36.13,0,58,100,82.88,20.36,0,33.31,100,42.62
59,27200,40.51,62.85,13.54,45.14,100,66.06,83.71,91.78,0,86.08,94.34,100,93.28,0,62.9,72.58,64.52,100,0
60,1483,10.45,75.54,-7.95,-36.23,100,0,53.85,17.18,40.33,58.6,27.05,0,100,23.1,100,100,49.87,0,75.44
61,708,28.09,14.68,22.05,47.54,27.96,90.88,0,36.64,100,26.94,58.91,100,0,9.2,40,60,100,20.14,0
62,17277,-18.7,9.28,-42.32,-23.08,22.97,7.59,100,0,26.92,100,13.54,52.34,0,68.28,33.31,99.96,0,0,100
63,409,5.57,48.14,-29.65,-1.78,56.22,100,41.62,12.43,0,56.06,42.04,0,42.04,100,100,100,0,66.67,0
64,1368,9.48,73.05,13.64,-58.24,100,61.47,18.12,67.68,0,18.01,0,13.51,100,72.88,88.32,66.18,21.9,0,100
65,17728,55.59,55.25,67.28,44.23,79.41,35.38,100,21.31,0,0,61.34,57.83,66.69,100,0,100,15.62,31.33,9.45
66,14839,56.94,67.86,21.65,81.33,100,57,83.58,77.72,0,46.48,100,43.72,57.53,0,11.64,100,90.83,35.81,0
67,330,37.74,78.69,61.83,-27.3,100,85.71,42.86,57.14,0,0,14.29,57.14,71.43,100,0,0,50,0,100
68,4065,3.09,-13.45,15.53,7.2,20,88.89,71.11,100,0,70.27,100,78.38,62.16,0,25,0,100,87.5,100
69,17650,18.19,10.21,18.93,25.44,22.68,0,50.52,100,78.35,17.65,60,100,0,80,61.54,57.69,100,15.38,0
70,26538,-20.58,12.88,-17.86,-56.75,46.3,100,83.67,88.09,0,80.83,0,23.64,100,10,100,29.13,12.59,0,25.99
71,16656,38.74,15.43,65.2,35.59,49.63,87.5,88.75,100,0,0,24.67,46.78,100,67.25,0,1.94,18.91,100,22.68
72,706,28.77,74.13,-26.19,38.37,100,0,31.5,78.76,63.01,100,33.97,67.94,50.96,0,0,100,25,50,50
73,5954,40.61,80.22,-1.08,42.69,97.33,100,66.63,39.94,0,100,72.37,100,91.37,0,0,40,33.33,100,73.53
74,115,,,,
75,426,-2.84,51.11,-5.92,-53.71,82.39,100,71.43,85.71,0,48.45,16.67,100,0,50,100,0,0,0,0
76,241,,,,
77,730,9.73,83.58,-1.76,-52.61,100,100,57.14,0,0,13.64,18.18,0,45.45,100,11.11,0,11.11,55.56,100
78,851,-3.66,10.88,-33.9,12.04,13.59,23.08,0,61.54,100,100,0,64.91,55.64,92.73,24.85,100,75,0,75
79,19081,3.73,85.44,-36.63,-37.63,100,96.63,61.52,11.62,0,100,81.51,47.71,0,2.18,100,33.35,29.35,5.34,0
80,19908,12.81,18.52,36.81,-16.89,46.94,55.63,80.99,100,0,18.79,100,38.64,51.45,0,0,55.14,18.95,8.65,100
81,16563,6.81,-37.97,22.81,35.6,0,44.27,45.85,100,85.77,39.36,100,34.55,56.8,0,70.58,100,94.12,17.66,0
82,2295,12.28,70.66,1.84,-35.65,100,67.27,34.55,76.36,0,65.52,62.07,100,20.69,0,100,44.44,22.22,11.11,0
83,15180,17.84,61.83,-18.27,9.96,100,17.02,25.53,91.49,0,48.89,54.81,37.04,0,100,30.77,88.46,100,0,80.77
84,498,32.88,72.23,61.3,-34.9,100,100,100,31.79,0,0,100,85.71,58.59,87.45,100,0,66.67,67.34,67.34
85,21925,23.94,75.36,-7.72,4.18,100,57.92,89.96,36.29,0,82.89,100,72.11,24.47,0,98.02,100,85.15,0,1.98
86,741,-8.14,36.97,-21.17,-40.23,51.9,0,73.33,100,66.67,59.49,0,44,76,100,14.09,0,42.86,14.29,100
87,245,,,,
88,11753,-21.52,-42.28,36.65,-58.91,0,82.8,100,69.09,46.5,0,34.57,100,13.77,33.53,47.51,7.05,33.23,0,100
89,23352,45.78,82.96,25.53,28.87,97.78,100,30.7,18.69,0,5.35,0,13.62,100,56.4,0,19.99,42.01,100,94
90,41462,13.67,48.99,-17.27,9.28,36.33,15.55,0,20.78,100,100,65,30.01,87.51,0,100,66.66,66.68,66.68,0
91,470,16.8,44.89,21.04,-15.53,75,100,25,75,0,25,62.5,100,0,37.5,100,25,50,50,0
92,1149,9.35,74.57,-35.37,-11.14,100,3.27,3.27,55.67,0,44.05,14.68,0,22.03,100,100,0,80,100,40.17
93,15876,25.95,76.3,37.12,-35.56,89.95,100,20.99,0,38.89,0,100,32.61,28.86,45.09,72.92,100,0,0,72.97
94,12022,-10.62,89.24,-57.25,-63.87,100,4.88,17.08,4.88,0,100,12.82,10.26,0,12.83,99.94,0,0.01,66.67,100
95,5410,44.58,94.59,42.46,-3.31,100,61.43,22.86,25.71,0,3.7,0,61.11,74.07,100,42.86,0,80.95,100,90.48
96,480,-6.91,1.39,-18.81,-3.3,20,100,0,50,20,80,0,100,40,100,75,0,100,50,25
97,14272,-8.07,-29.14,16.43,-11.49,0,100,58.86,45.01,17.31,0,45.22,13.79,23.18,100,59.04,100,0,63.74,77.4
98,18157,14.68,93.7,-7.11,-42.55,100,65.44,26.92,28.15,0,100,63.15,98.73,75.04,0,100,0,0.02,30.03,0.02
99,15567,3.76,-25.92,39.2,-2.01,0,2.12,95.77,83.06,100,0,18.49,17.68,100,85.2,22.67,100,0,36.4,81.91
100,16856,52.23,39.66,45.69,71.33,59.82,90.37,100,34.81,0,0,42.28,41.17,100,0.65,0,60.74,57.17,100,67.88
101,26291,-8.22,-3.28,11.21,-32.58,19.91,2.7,78.38,100,0,52.5,100,20.1,71.65,0,100,98.05,0,52.03,70.04
102,23634,44.64,71.83,15.38,46.71,100,73.14,73.85,75.28,0,79.65,80.35,98.47,100,0,66.66,57.96,100,79.71,0
103,296,44.54,61.95,24.9,46.78,96.67,36.36,100,0,0,15.28,83.33,0,100,50,0,0,33.33,100,0
104,18713,-6.59,-5.92,-15.02,1.17,12.22,100,0,69.09,65.75,89.41,0,100,88.35,87.18,50,0,100,71.48,64.34
105,3640,22.31,33.47,-8.71,42.15,53.85,0,100,7.69,15.38,78.57,92.86,0,100,85.71,0,27.27,100,48.48,66.67
106,16303,51.67,88.13,64,2.89,100,79.78,40.23,0,48.36,0,59.42,49.43,69.49,100,13.94,55.77,0,100,97.68
107,17339,-13.1,-19.58,12.13,-31.84,0,24.82,17.02,100,29.29,39.13,75,100,0,58.88,69.9,0,99.85,9.99,100
108,16224,40.98,45.32,25.11,52.51,49.41,56.32,32.61,0,100,0,10,0,100,30.19,0,0,50,100,10.04
109,483,67.93,76.01,40.83,86.94,100,100,27.27,0,73.48,0,50,100,14.19,39.45,0,74.04,74.04,100,50.13
110,740,8.45,62.51,-7.33,-29.85,85.71,100,100,28.57,0,44.44,0,100,0,66.67,75,100,0,0,50
111,356,18.95,95.45,8.94,-47.55,100,59.79,42.7,0,8.54,24.07,0,75,50,100,98.06,100,0,20,100
112,537,18.93,51.13,-15.49,21.16,82.91,100,0,86.26,86.26,97.67,0,100,100,78.09,13.09,6.48,100,0,13.33
113,100,,,,
114,1997,24.65,79.79,21.6,-27.44,100,62.76,74.67,53.33,0,43.6,65.76,100,22.22,0,16.25,41.19,0,58.33,100
115,1578,3.26,8.14,-58.74,60.37,20.34,100,7.76,0,50.47,100,12.5,0,0.73,0.73,24.91,100,74.97,12.55,0
116,16447,23.99,44.91,-22.62,49.67,64.52,88.84,100,41.89,0,100,0,88.35,81.03,76.15,0,100,80.08,20.06,48.96
117,260,17.15,35.99,-1.09,16.54,60,0,100,20,100,71.43,100,0,85.71,0,50,0,100,100,50
118,27607,42.91,60.07,24.16,44.49,100,79.59,75.32,99.18,0,67.45,83.23,100,87.47,0,57.49,100,46.27,86.28,0
119,1129,24.23,25,36.45,11.23,46.67,100,0,60,28.18,0,21.05,100,36.84,79.74,14.29,0,100,14.29,43.11
120,423,3.26,53.65,-49.91,6.02,89.84,0,0,100,9.09,100,42.37,27.96,0,58.32,98.82,0,98.82,100,0
121,2951,13.98,15.19,61.75,-34.99,32.26,0,100,41.67,20.83,0,75.68,53.8,100,44.07,66.44,75,0,66.67,100
122,203,,,,
123,15962,27.46,64.71,-17.06,34.73,98.26,97.73,100,74.47,0,100,57.98,94.76,42.03,0,75.37,70.46,100,45.9,0
124,349,23.6,65.75,-5.14,10.18,83.33,100,0,0,54.35,75,0,100,83.33,26.21,20,0,100,40,60.87
125,336,51.72,80.4,19.22,55.54,100,51.91,0,64.89,51.91,0,100,15.18,1.04,71.73,0,100,100,25,50
126,387,-12.79,20.04,-57.09,-1.33,41.6,85.47,100,0,22.22,100,38.73,0,0,0,98.72,32.91,33.33,100,0
127,27083,-9.82,64.17,-46.07,-47.57,100,68.22,0,96.73,59.01,96.6,46.37,0,34.85,100,100,66.15,0,4.64,27.72
128,17490,36.91,46.75,9.3,54.68,81.86,100,80.23,94.19,0,83.89,100,88.14,71.68,0,75,88.64,100,90.91,0
129,2373,32.75,62.61,17.34,18.29,95.41,95.41,100,0,55.2,17.82,13.28,11.01,100,0,19.94,0,39.88,100,53.37
130,2656,-40.97,-44.53,-18.34,-60.04,0,39.4,87.01,100,54.55,63.46,100,10.34,0,96.55,58.62,52.94,0,11.76,100
131,255,49.93,64.99,43.28,41.51,60,0,30,40,100,25,37.5,100,87.5,0,0,50,0,100,0
132,23539,16.52,93.42,6.2,-50.06,100,45.89,0,29.47,33.44,75.3,100,50.61,76.76,0,40.43,56.15,0,2.25,100
133,1199,33.28,49.02,3.29,47.52,63.64,100,0,22.73,10,42.31,0,100,42.31,46.85,0,0,58.33,100,50.31
134,15195,-16.93,45.27,-27.64,-68.42,78.27,77.72,79.67,100,0,100,88.05,46.02,31.42,0,100,2.82,2.82,0,50.7
135,15264,47.8,72.12,32.32,38.96,100,25.6,25.04,70.91,0,0,100,15.57,27.05,9.12,84.2,100,73.66,78.93,0
136,566,12.57,38.9,0.95,-2.14,62.72,83.33,100,0,66.67,18.89,34.62,0,50,100,0,60,60,0,100
137,608,27.93,58.17,-5.13,30.75,84.7,0,72.6,100,75.6,56.99,100,42.65,0,21.68,0,0,0,100,0.81
138,2064,-17.83,-33.71,-4.02,-15.74,0,27.78,100,77.78,23.4,34.95,99.02,0,5.82,100,9.97,39.88,59.83,0,100
139,16378,30.08,23.07,14.23,52.93,50.76,100,67.17,75.93,0,0,39.62,12.3,22.1,100,0,49.96,96.07,73.09,100
140,32640,6.63,64.71,-20.05,-24.76,82.35,82.35,17.65,0,100,100,84.35,77.39,31.3,0,100,0,60.34,27.59,3.45
141,2002,12.1,86.89,3.48,-54.07,100,80.79,0,14.45,14.45,76.39,31.05,90.91,100,0,100,12.23,0,25.14,25.14
142,1206,17.18,32.7,-22.65,41.48,47.17,100,24,0,84,95.58,55.56,100,0,55.56,0,100,50.05,0.1,25.08
143,2308,31.5,-9.83,49.83,54.49,25.56,86.47,100,74.6,0,0,93.76,44.12,77.89,100,12.4,12.4,100,50.16,0
144,12507,18.96,30.11,5.56,21.23,41.15,0,20.61,100,41.19,38.44,25.95,3.85,100,0,66.66,100,16.67,66.7,0
145,17363,-4.85,22.62,-13.27,-23.89,31.83,0,30.97,100,56.97,63,0,97.75,32.64,100,48.3,0,86.48,57.31,100
146,14900,16.57,27.62,30.97,-8.87,46.88,100,0,53.12,40.63,38.58,67.01,100,32.49,0,75.76,60.61,100,0,45.45
147,3087,-13.86,-33.32,-31.91,23.65,0,100,64.38,94.73,43.13,100,46.27,0,74,26.91,0,49.84,66.72,50.08,100
148,232,,,,
149,20807,13.15,2.91,35.73,0.83,24.1,0,100,69.87,12.62,0,100,33.8,29.28,59.94,33.84,94.84,93.22,0,100
150,347,-2.05,53.36,-22.2,-37.3,74.35,100,91.08,0,13.01,95.71,62.86,0,100,66.67,100,33.33,33.82,0,0
151,17666,11.08,-5.73,7.28,31.67,18.59,100,40,43.75,0,47.2,0,100,74.36,57.69,16.61,0,100,45.83,25
152,14529,-2.03,65.09,-7.43,-63.75,100,83.82,92.65,0,79.65,61.51,0,82.65,84.57,100,52.75,0,30.54,13.88,100
153,1628,47.73,76.5,77.72,-11.03,100,91.61,91.61,42.1,0,0,19.88,62.49,97.15,100,39.82,0,84.61,85.02,100
154,936,14.07,29.25,-6.06,19.02,34.04,0,40,100,95,62.43,0,100,47.37,26.32,86.97,100,50,50,0
155,816,49.06,73.1,15.56,58.53,87.68,60,20,0,100,48.56,100,35.71,50,0,0,37.93,37.93,100,37.93
156,8308,15.39,74.82,-11.41,-17.25,100,35.29,0,80.89,57.35,64.54,51.34,0,100,85.32,80.85,38.05,0,100,45.27
157,4417,-19.73,35.54,-33.04,-61.7,56.13,100,0,61.49,65.88,100,54.69,46.98,40.5,0,100,0,0.25,31.05,50.3
158,550,17.09,49.82,74.39,-72.94,75,100,100,0,25,0,40,66.67,100,46.67,33.33,0,0,0,100
159,787,-11.11,27.23,-29.72,-30.84,59.19,100,0,82.13,0,98.1,48.42,80,0,100,79.37,39.62,0,100,80
160,22677,22.03,50.63,8.56,6.89,78.13,100,91.47,74.57,0,65.15,75.08,100,29.08,0,100,80.59,44.79,68.68,0
161,388,41.55,40.74,7.93,75.98,73.64,42.79,92.15,100,0,69.96,100,54.94,60.86,0,49.36,98.72,98.72,100,0
162,199,,,,
163,17120,27.8,-30.49,71.15,42.75,0,100,52.74,76.71,57.53,0,34.43,100,90.98,36.89,11.11,0,100,50,11.11
164,52806,31.66,44.4,2.64,47.94,81.55,0,81.71,100,8,77.05,100,94.94,21.69,0,18.45,67.47,100,0,5.22
165,17880,47.38,55.61,3.1,83.43,60.68,51.71,35.04,0,100,66.67,100,68.25,20.63,0,0,100,83.33,83.33,50
166,1013,34.82,49.61,28.41,26.45,70.63,0,70.63,5.36,100,27.44,100,27.44,72.92,0,0,100,28.57,21.61,57.5
167,16425,-0.05,40.67,16.71,-57.53,55.88,100,68.91,39.92,0,38.1,82.14,9.52,100,0,60,52,0,36,100
168,17031,30.44,72.94,8.32,10.06,100,78.6,62.22,73.92,0,86.27,85.16,82.81,100,0,100,56.55,95.7,52.2,0
169,11570,3.47,79.03,-58.75,-9.86,100,0,0,0,91.67,100,0,0,0,9.09,33.33,16.67,0,100,66.67
170,147,,,,
171,1190,4.79,-12.33,16.49,10.2,0,50,25,25,100,0,46.15,42.31,3.85,100,30.77,100,38.46,0,46.15
172,2582,-1.27,62.41,-6.41,-59.8,100,62.68,0,82.27,3.74,54.39,34.43,100,0,60,83.14,66.51,0,16.67,100
173,22760,8.31,81.88,-27.03,-29.92,98.52,100,61.72,0,9.2,100,89.95,69.14,1.06,0,100,69.17,51.67,0,23.33
174,18989,-5.34,31.47,-37.08,-10.41,34.09,0,58.99,81.28,100,100,60.49,40.28,30.17,0,76.47,100,0,85.29,70.66
175,15239,-2.54,52.47,-17.12,-42.95,81.29,23.74,100,0,30.4,98.59,0,82.39,100,43.76,100,0,6.12,89.8,67.43
176,126,,,,
177,425,-9.45,-27.84,-26.99,26.48,0,88.89,88.89,44.44,100,75,0,50,75,100,50,100,0,100,0
178,442,15.27,0.57,51.31,-6.06,23.26,100,38.81,38.81,0,0,0,78,100,44.99,98.31,48.88,100,0,0
179,28164,39.83,87.36,4.26,27.86,100,82.88,60.94,38.04,0,99.45,87.53,99.45,100,0,74.64,57.74,100,43.65,0
180,20442,20.37,59.79,1.01,0.3,80.95,64.09,100,15.23,0,32.21,1.14,0,100,33.07,18.9,0,32.48,100,78.39
181,1579,27.25,72.58,17.63,-8.44,84.68,0,36.29,36.29,100,33.05,33.05,28.87,100,0,61.54,0,7.69,100,23.35
182,20038,-17.12,23.92,-27.86,-47.42,38.37,100,0,27.01,40.97,100,42.09,87.48,2.35,0,100,34.71,60.83,0,69.66
183,413,13.04,-15.62,64.64,-9.91,13.87,65.55,100,34.87,0,0,50,100,56.71,6.1,0,49.4,49.4,0,100
184,20769,27.92,50.48,58.92,-25.63,40.74,0,19.3,69.69,100,0,16.74,41.59,71.01,100,50.94,0,13.21,100,73.62
185,24487,0.07,-33.77,-30.75,64.74,0,39.27,43.14,100,58.97,100,86.6,64.32,0,17.87,0,36.35,100,45.46,36.37
186,487,43.87,73.58,20.74,37.3,100,74.51,90.14,0,0,28.47,48.27,20,100,0,0,98.64,0.34,100,33.56
187,1009,-13.49,-30.52,-24.04,14.1,0,25,100,58.33,26.87,100,77.78,0,66.67,1.22,100,71.41,71.41,71.41,0
188,15018,26.87,90.31,3.65,-13.35,100,38.46,0,41.27,44.44,19.6,3.73,0,91.6,100,0,26.3,0,73.7,100
189,16310,26.39,79.06,20.03,-19.91,100,0,44.52,28.39,26.45,18.26,100,5.22,30.43,0,73.53,88.24,0,97.06,100
190,1346,15.56,21.75,-11.59,36.51,49.23,100,40.91,77.27,0,51.5,0,65.22,65.22,100,14.02,42.86,100,0,14.29
191,928,-14.22,-23.56,-6.6,-12.5,0,0,96.67,100,2.81,39.6,99.01,0,5.43,100,21.98,99.34,21.98,0,100
192,5556,19.96,72.54,-9.12,-3.54,93.75,100,88.24,44.12,0,57.25,15.79,100,0,21.05,55.43,55.56,100,0,55.56
193,31651,20.66,-2.85,15.23,49.59,16.76,0,56.01,100,22.12,38.5,100,72.5,0,40.36,12.38,100,39.31,8.97,0
194,16580,24.94,32.96,41.14,0.72,50.59,31.76,100,0,9.41,0,43.48,29.35,100,3.62,100,50.67,40,85.33,0
195,18687,-3.55,53.37,-19.47,-44.54,72.86,100,48.87,59.73,0,87.14,0,100,39.37,41.89,94.56,0,73.73,52.71,100
196,1403,26.96,58.48,23.12,-0.73,90.28,31.94,100,55.3,0,34.19,100,34.19,37.74,0,100,57.12,71.41,43.03,0
197,1965,14.46,4.82,-29.13,67.7,24,32,16,100,0,64.58,29.17,47.92,0,100,0,100,100,25,25
198,20913,28.26,91.73,-14.21,7.26,100,42.86,0,36.15,38.92,94.29,80,100,12.39,0,49.99,49.99,100,0,33.35
199,891,-15.59,35.9,-52.67,-29.99,48.97,100,50,0,55,96.54,0,0,0,100,99.22,100,0,0,20
200,11924,-10.38,57.6,-21.21,-67.52,100,24.53,100,74.84,0,72.5,100,0,22.5,82.93,35.45,22.56,0,29,100
201,1004,34.38,62.59,1.3,39.23,79.89,100,59.78,55.76,0,79.95,59.9,100,59.9,0,39.94,19.92,59.96,100,0
202,154,,,,
203,656,25.35,46.59,32.31,-2.84,34.16,18.18,0,45.45,100,53.58,72.73,100,81.82,0,32.58,33.33,0,100,66.67
204,2286,10.55,-7.42,-25.77,64.85,14.85,100,8.33,83.33,0,52.33,38.89,33.33,0,100,0,100,90.92,36.45,45.53
205,14602,52.54,76.53,59.57,21.52,100,76.16,0,60.65,51.11,0,100,89.96,48.1,70.56,4.47,100,13.65,0,31.85
206,16086,10.73,60.02,20.9,-48.73,68.99,100,55.48,0,27.4,26.45,0,100,60,23.33,13.98,0,28.57,0,100
207,556,55.2,62.57,33.91,69.12,78.9,100,0,18.18,54.55,14.77,23.08,46.15,100,0,0,25,100,75,50
208,2022,-20.12,-27.17,-11.51,-21.67,0,35.2,35.84,100,35.84,54.59,100,9.42,0,21.98,54.98,100,20.06,0,70.21
209,262,1.78,1.92,-27.53,30.94,17.13,100,0,42.23,84.46,100,0,85.9,51.92,68.91,0,100,0,0,0
210,17401,15.28,25.14,9.92,10.79,58.83,94.24,71.22,100,0,82.21,65.1,99.48,100,0,97.75,100,60.87,36.96,0
211,29683,47.81,63.29,43.76,36.36,73.76,100,51.66,37.99,0,46.37,98.81,100,81.05,0,100,97.37,100,86.88,0
212,5408,17.01,80.34,-29.89,0.59,95.37,100,24.36,18.54,0,100,46.19,85.65,0,35.91,33.24,100,33.24,0,58.47
213,286,0.79,-3.67,-35.48,41.51,10.13,100,0,25,50,100,20.86,62.59,20.86,0,0,100,0,50,0
